"topic_id";"forum_id";"topic_title";"topic_poster";"topic_time";"topic_views";"topic_replies";"topic_status";"topic_vote";"topic_type";"topic_first_post_id";"topic_last_post_id";"topic_moved_id"
334;5;Будем прощаться!                                            ;25;1149226175;161;19;0;0;0;7166;7609;0
351;1;Закрытие сезона                                             ;24;1150316831;529;7;0;0;0;7412;7464;0
155;1;Почему режиссура эстрады?                                   ;8;1144609872;548;2;0;0;0;3066;6185;0
156;1;Трубка Манилова                                             ;2;1144749081;460;2;0;0;0;3137;3536;0
157;1;Простите наше нетерпение, а что же дальше?                  ;3;1144778318;533;2;0;0;0;3148;3533;0
158;4;Немного о кино...                                           ;3;1144865621;540;25;0;0;0;3190;7453;0
159;7;Максиму Мишаеву: Первый раз на всеобщий показ...            ;3;1144866346;415;1;0;0;0;3193;4421;0
346;4;холодное лето 53-его                                        ;77;1150110089;19;3;0;0;0;7360;7365;0
161;12;Цвет на лето                                                ;7;1144936487;677;23;0;0;0;3366;7148;0
162;7;Максиму Мишаеву: Ваш характер                               ;25;1145045375;1255;8;0;0;0;3472;6616;0
319;9;Художникам: судьба кукол, их жизнь в спектаклях...          ;5;1149013373;953;14;0;0;0;7061;7189;0
164;2;"&quot;Странная миссис Сэвидж&quot;: спектакль в работе      ";2;1145280833;1199;10;0;0;0;3544;7636;0
166;3;Как редактировать название темы                             ;11;1145621252;142;1;0;0;0;3639;3641;0
168;1;Отношение к помещикам                                       ;7;1145699865;369;3;0;0;0;3619;3626;0
350;1;Спасибо за предоставленную возможность!                     ;3;1150275580;263;1;0;0;0;7401;7410;0
170;13;С праздником Пасхи Христовой!                               ;7;1145741162;308;14;0;0;0;3752;3837;0
171;1;Волшебная флейта                                            ;11;1145820369;387;1;0;0;0;3787;3793;0
172;5;Общение на различных форумах                                ;25;1145880922;736;26;0;1;0;3797;7403;0
173;5;Маленькая женская месть                                     ;37;1145944627;264;5;0;0;0;3834;3984;0
174;7;Для Романа Богатова: Вот так сюрприз!                       ;3;1145979793;585;5;0;0;0;3873;3896;0
175;7;Для Елены Поваровой: Добро пожаловать! И о Вас...           ;49;1146037001;1050;11;0;0;0;3912;4106;0
176;7;Неизвестные детали о Романе Богатове                        ;3;1146042429;4339;43;0;0;0;3915;6946;0
177;7;Елене Поваровой: Комплименты                                ;3;1146043569;529;2;0;0;0;3917;4256;0
178;7;Роману Богатову: Петь или вести куклу?                      ;5;1146083419;3048;25;0;0;0;4068;4254;0
179;1;Попробуйте загадать...                                      ;3;1146164926;275;0;0;0;0;4111;4111;0
180;7;Елене Поваровой: Как все начиналось?                        ;3;1146166056;590;4;0;0;0;4114;4602;0
181;1;ПРОСТО СПАСИБО!                                             ;57;1146169582;316;0;0;0;0;4118;4118;0
182;1;От имени жаждущих                                           ;3;1146216367;475;2;0;0;0;4125;4305;0
183;2;Коллажи, заставки, плакаты к спектаклям                     ;7;1146329375;893;0;1;0;0;2537;2537;0
349;7;"Роману Богатову: &quot;Творческие планы&quot;               ";13;1150219546;375;3;0;0;0;7393;7407;0
185;8;ЧИЧИКОВ: новые впечатления                                  ;3;1146338239;972;8;0;0;1;4229;6899;0
186;1;Другой Чичиков                                              ;3;1146340601;378;1;0;0;0;4234;4301;0
187;7;Вопрос для всех: Рады ли вы, что....                        ;3;1146544096;940;9;0;0;0;4314;7153;0
188;13;МЫ ПОМНИМ И ЧТИМ СВОИХ ГЕРОЕВ. О ДНЕ ПОБЕДЫ!                ;37;1146573402;622;22;0;0;0;4328;4924;0
189;9;Да здравствует Анна Львова!                                 ;3;1146578614;260;0;0;0;0;4326;4326;0
190;1;Зачем нужна басня                                           ;5;1146583581;369;1;0;0;0;4329;4332;0
191;9;Анна, какой институт?                                       ;5;1146585549;1000;9;0;0;0;4331;4660;0
192;4;Классическая музыка: дискуссия...                           ;3;1146645112;3232;124;0;1;0;4355;6231;0
193;1;Достоевский                                                 ;9;1146660940;349;1;0;0;0;4422;4424;0
194;9;Анне Львовой: признайтесь честно...                         ;5;1146664905;425;3;0;0;0;4428;4434;0
195;9;Анне Львовой - о работе художника-постановщика              ;3;1146734131;1342;14;0;0;0;4457;6301;0
196;7;Ирине Яковлевой: Добрый знак...                             ;3;1146834629;457;3;0;0;0;4504;4644;0
